[cudnnSetConvolutionNdDescriptor] [{convDesc:1049353}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049359}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049365}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049371}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049377}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049383}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049389}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049395}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049401}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049407}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049413}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049419}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049425}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049431}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049437}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049443}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
