[cudnnSetTensorNdDescriptor] [{tensorDesc:1048720}, {dimA:(1, 512, 28, 28)}, {strideA:(401408, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048722}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048724}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048725}, {dimA:(1, 128, 1, 1)}, {strideA:(128, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048726}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048728}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048730}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048731}, {dimA:(1, 128, 1, 1)}, {strideA:(128, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048732}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048734}, {dimA:(1, 512, 28, 28)}, {strideA:(401408, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048736}, {dimA:(1, 512, 28, 28)}, {strideA:(401408, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048737}, {dimA:(1, 512, 1, 1)}, {strideA:(512, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048738}, {dimA:(1, 512, 28, 28)}, {strideA:(401408, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048740}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048742}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048743}, {dimA:(1, 128, 1, 1)}, {strideA:(128, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048744}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048746}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048748}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048749}, {dimA:(1, 128, 1, 1)}, {strideA:(128, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048750}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048752}, {dimA:(1, 512, 28, 28)}, {strideA:(401408, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048754}, {dimA:(1, 512, 28, 28)}, {strideA:(401408, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048755}, {dimA:(1, 512, 1, 1)}, {strideA:(512, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048756}, {dimA:(1, 512, 28, 28)}, {strideA:(401408, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048758}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048760}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048761}, {dimA:(1, 128, 1, 1)}, {strideA:(128, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048762}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048764}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048766}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048767}, {dimA:(1, 128, 1, 1)}, {strideA:(128, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048768}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048770}, {dimA:(1, 512, 28, 28)}, {strideA:(401408, 784, 28, 1)}]
